
映像名称                       PID 会话名              会话#       内存使用 
SkypeHost.exe                  248 Console                    3         24 K
ChsIME.exe                   19736 Console                    3     15,644 K
GameLoader.exe               14232 Console                    3      8,736 K
SettingSyncHost.exe          15816 Console                    3      4,076 K
ApplicationFrameHost.exe     13756 Console                    3     21,648 K
SystemSettings.exe           22316 Console                    3     11,316 K
LockApp.exe                  21536 Console                    3     20,036 K
RuntimeBroker.exe            18964 Console                    3     22,420 K
Microsoft.Photos.exe         17452 Console                    3      7,108 K
RuntimeBroker.exe              956 Console                    3     26,260 K
RuntimeBroker.exe            11732 Console                    3      5,892 K
svchost.exe                  21560 Services                   0      6,156 K
audiodg.exe                   6432 Services                   0     17,780 K
Everything.exe               22628 Console                    3     13,912 K
Everything.exe                3560 Console                    3     69,424 K
svchost.exe                  23096 Services                   0      5,368 K
explorer.exe                  7916 Console                    3     62,552 K
MicrosoftEdge.exe            17788 Console                    3     50,204 K
browser_broker.exe            4640 Console                    3      8,416 K
RuntimeBroker.exe            17640 Console                    3      6,448 K
MicrosoftEdgeCP.exe          18868 Console                    3     21,676 K
MicrosoftEdgeCP.exe          15596 Console                    3     19,712 K
Video.UI.exe                 21524 Console                    3        364 K
RuntimeBroker.exe            12372 Console                    3      8,824 K
QQApp.exe                     5996 Console                    3     18,336 K
svchost.exe                  22744 Console                    3     18,984 K
smartscreen.exe              13892 Console                    3     21,444 K
chrome.exe                    7712 Console                    3    118,932 K
chrome.exe                   21984 Console                    3     14,192 K
chrome.exe                    7804 Console                    3     14,216 K
chrome.exe                   23356 Console                    3     56,640 K
chrome.exe                    2164 Console                    3     32,552 K
chrome.exe                   19824 Console                    3     51,392 K
chrome.exe                   17812 Console                    3     59,452 K
chrome.exe                   12360 Console                    3     85,536 K
chrome.exe                    4740 Console                    3     24,840 K
svchost.exe                  12460 Services                   0      7,672 K
powershell.exe                2504 Console                    3     71,760 K
conhost.exe                  20648 Console                    3     22,476 K
chrome.exe                   23228 Console                    3     20,044 K
WmiPrvSE.exe                  7164 Services                   0     10,636 K
svchost.exe                   9768 Services                   0     10,492 K
tasklist.exe                  6648 Console                    3      7,712 K
